,precision,recall,f1-score
Component-Whole,0.76,0.7916666666666666,0.7755102040816326
Other,0.5155709342560554,0.32819383259911894,0.40107671601615075
Instrument-Agency,0.6536312849162011,0.75,0.6985074626865672
Member-Collection,0.7,0.871244635193133,0.7762906309751434
Cause-Effect,0.8771929824561403,0.9146341463414634,0.8955223880597015
Entity-Destination,0.8461538461538461,0.9417808219178082,0.8914100486223663
Content-Container,0.7882882882882883,0.9114583333333334,0.8454106280193238
Message-Topic,0.7971014492753623,0.842911877394636,0.8193668528864059
Product-Producer,0.7828054298642534,0.7489177489177489,0.7654867256637168
Entity-Origin,0.8104838709677419,0.7790697674418605,0.7944664031620553
