ID,LABEL_TRUE,LABEL_PRED
0,0,1
1,0,0
2,0,1
3,0,1
4,0,1
5,1,1
6,1,1
7,0,0
8,1,1
9,1,1
10,0,1
11,0,0
12,0,1
13,1,1
14,1,1
15,0,0
16,0,0
17,1,1
18,1,1
19,1,1
20,1,1
21,0,0
22,0,0
23,0,0
24,1,1
25,1,1
26,0,1
27,0,1
28,1,1
29,1,1
30,1,1
31,1,1
32,0,1
33,0,0
34,1,1
35,0,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,0,0
42,0,0
43,0,1
44,1,1
45,0,0
46,0,1
47,0,1
48,0,1
49,0,0
50,0,0
51,0,0
52,1,1
53,0,1
54,1,1
55,0,0
56,0,1
57,0,1
58,0,1
59,0,0
60,0,0
61,1,1
62,1,1
63,1,1
64,1,1
65,0,0
66,0,1
67,0,0
68,0,0
69,0,1
70,0,1
71,1,1
72,0,0
73,0,1
74,0,1
75,0,0
76,0,1
77,0,0
78,0,1
79,1,1
80,0,1
81,1,1
82,0,1
83,0,1
84,1,1
85,0,1
86,1,1
87,0,1
88,1,1
89,0,1
90,1,1
91,0,1
92,0,0
93,1,1
94,1,1
95,0,0
96,0,0
97,0,1
98,1,1
99,1,1
100,1,1
101,0,0
102,1,1
103,0,1
104,1,1
105,0,1
106,0,1
107,1,1
108,0,1
109,1,1
110,1,1
111,1,1
112,0,1
113,1,1
114,0,0
115,0,1
116,0,1
117,0,1
118,0,0
119,1,1
120,0,1
121,0,1
122,0,1
123,0,1
124,0,1
125,0,1
126,1,1
127,0,0
128,1,1
129,0,1
130,0,1
131,1,1
132,1,1
133,1,1
134,0,1
135,1,1
136,0,1
137,1,1
138,1,1
139,0,0
140,1,1
141,0,0
142,0,1
143,1,1
144,1,1
145,1,1
146,0,0
147,0,1
148,1,1
149,0,0
150,1,1
151,1,1
152,0,0
153,1,1
154,0,1
155,0,1
156,0,1
157,0,1
158,0,0
159,0,1
160,0,1
161,1,1
162,0,1
163,0,1
164,0,1
165,0,1
166,0,1
167,0,1
168,1,1
169,0,1
170,0,1
171,0,1
172,1,1
173,0,1
174,1,1
175,0,1
176,0,1
177,0,1
178,0,1
179,1,1
180,1,1
181,0,1
182,1,1
183,0,1
184,0,1
185,0,1
186,0,0
187,1,1
188,0,1
189,1,1
190,1,1
191,0,0
192,0,0
193,0,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,0,0
201,0,1
202,0,1
203,1,1
204,0,1
205,0,0
206,1,1
207,0,0
208,1,1
209,0,1
210,1,1
211,0,1
212,1,1
213,0,1
214,1,1
215,1,1
216,0,0
217,1,1
218,1,1
219,0,1
220,0,0
221,0,0
222,0,1
223,0,1
224,1,1
225,1,1
226,0,1
227,0,1
228,0,1
229,0,0
230,0,1
231,0,0
232,0,1
233,0,1
234,1,1
235,0,1
236,1,1
237,0,0
238,0,1
239,1,1
240,0,0
241,0,1
242,0,0
243,0,1
244,0,1
245,0,1
246,0,0
247,0,1
248,0,1
249,0,1
250,0,1
251,1,1
252,0,1
253,1,1
254,0,1
255,0,1
256,0,1
257,0,0
258,1,1
259,0,1
260,0,1
261,1,1
262,0,1
263,0,0
264,0,0
265,0,1
266,0,0
267,0,1
268,1,1
269,0,0
270,0,0
271,0,0
272,0,1
273,0,0
274,0,1
275,0,0
276,0,1
277,0,0
278,0,1
279,1,1
